bondlength	fci0	energy0	error0	fci1	energy1	error1	fci2	energy2	error2
1.912	-7.867419645402478	-7.866421733192511	0.0009979122099670334	-7.7753030011442394	-7.774631511210006	0.0006714899342332714	-7.753722294968618	-7.752732405113661	0.0009898898549574042
1.924	-7.866586851728237	-7.86559779118861	0.0009890605396272178	-7.775450759807248	-7.7747806280653515	0.0006701317418968955	-7.753658450769728	-7.752675615041495	0.0009828357282328781
1.936	-7.86574314769299	-7.864762871622799	0.000980276070191799	-7.775590223284478	-7.774921528082348	0.0006686952021306425	-7.753582745352414	-7.7526069942950375	0.0009757510573766837
1.948	-7.864889247893077	-7.8639176891200036	0.0009715587730738662	-7.775721828715343	-7.775054282727328	0.0006675459880156609	-7.753495591679866	-7.7525269478178345	0.0009686438620315485
1.96	-7.864025847323438	-7.863062938386854	0.0009629089365841281	-7.775845997473855	-7.775180352573317	0.0006656449005379983	-7.753397386894971	-7.752435870953967	0.0009615159410039098
1.972	-7.863153622017812	-7.86219929495169	0.0009543270661218628	-7.775963135580108	-7.775299212819422	0.0006639227606859421	-7.753288512753274	-7.75233413965463	0.0009543730986436572
1.984	-7.862273229665295	-7.861327416707227	0.0009458129580677266	-7.776073634097234	-7.775411483446944	0.000662150650289739	-7.753169336044447	-7.752222116435745	0.0009472196087019213
1.996	-7.861385310204192	-7.860447942923978	0.0009373672802146515	-7.7761778695153	-7.775517539327659	0.0006603301876415557	-7.753040209003609	-7.752100147990848	0.0009400610127610065
2.008	-7.860490486393264	-7.859561496097144	0.0009289902961198138	-7.776276204122512	-7.775617296171059	0.0006589079514531804	-7.752901469713414	-7.751968527593486	0.0009329421199284482
2.02	-7.8595893643614625	-7.858668681948687	0.000920682412775875	-7.776368986365369	-7.775712468207042	0.0006565181583262358	-7.752753442498261	-7.751827703185061	0.0009257393132005021
2.032	-7.858682534136163	-7.857770090421529	0.000912443714633504	-7.77645655119812	-7.775799917893469	0.0006566333046507111	-7.7525964383113894	-7.7516778149101295	0.0009186234012599215
2.044	-7.857770570150706	-7.856866295130221	0.000904275020484846	-7.776539220422672	-7.77588540215279	0.0006538182698818673	-7.752430755116073	-7.7515192856004855	0.0009114695155876262
2.056	-7.856854031731398	-7.85595785616007	0.0008961755713281505	-7.776617303019652	-7.775966999530085	0.0006503034895670723	-7.752256678261688	-7.751352321100001	0.0009043571616871304
2.068	-7.855933463564485	-7.8550453171390116	0.0008881464254733018	-7.776691095471058	-7.776042982005655	0.0006481134654032772	-7.752074480855306	-7.751177272373787	0.0008972084815193071
2.08	-7.855009396143409	-7.854129208188655	0.0008801879547535307	-7.776760882075671	-7.776114994037267	0.0006458880384032639	-7.7518844241299085	-7.750994297361148	0.0008901267687608794
2.092	-7.854082346196527	-7.8532100459145875	0.0008723002819390757	-7.776826935257216	-7.77618331441241	0.0006436208448059588	-7.751686757809584	-7.750803664770021	0.0008830930395635761
2.104	-7.853152817095669	-7.852288333247795	0.0008644838478737427	-7.776889515866323	-7.776248002728566	0.000641513137757066	-7.751481720472574	-7.750605178812323	0.0008765416602507514
